"title","text","rating","travelDate"
"My experience with burj al arab","I have few notes to highlight regarding my one night stay in a 7 star hotel:
- when I made the reservation the call center representative who did the booking for me was very kind and offered me an early check-in between 1 to 2 PM But day before I arrived to the hotel, one lady called me to inform me that the check in time will be strictly 4 PM and it was not a good start with burj alarab. I am for the person in the hotel who did the check in for us about this incident and he made an upgrade for us to a higher floor room 
-The cutlery and cups in the hotel are much depreciated. They need to be up to the standard of a seven star hotel. I noticed this in the room and restaurants as well
-most of the staff were very kind to us except few of them specially on the tour of Burj AlArab section they need to be replaced or trained more. We were very excited to go for the tour, but because of the treatment we have changed our mind. Some of the staff telling us that the tour is a free since you are staying in the hotel and some says that we have to buy so we were very confused I canceled our plan. 
-we were not fully informed about what complimentary with the room, such as wild wadi access, or the tour. We have to explore and ask everything
- I also been charged twice for an order I made in breakfast for 160 AED !!
- I suggest to relook to the overall experience of the customers and to upgrade the hotel standards up to the 7 star hotel 
-also the TV need to be upgraded to a smart version such as othe 3, 4 and 5 star hotels ","3","2024-08"
"I had planned to celebrate my husband’s birthday at Burj Al Arab but got disappointed","Dear Buj Al Arab Hotel Management,

I am writing to express my profound disappointment with our recent stay at your hotel. We chose Buj Al Arab to celebrate my husband's birthday, expecting a special and memorable experience, but unfortunately, our stay was far from satisfactory.

Firstly, when we ordered room service, we were horrified to find a hair in our food. This is an unacceptable lapse in hygiene and quality control.

Secondly, my self image0.jpegimage1.jpeg image2.jpegKeyuri Kachalia, was locked in the bathroom due to a broken door handle. This was not only inconvenient but also quite distressing.

After this incident, we were moved to another room, but the issues persisted. The ""Do Not Disturb"" sign in the new room was broken, which meant we did not receive the privacy or service we required.

These incidents collectively made our stay extremely unpleasant and did not reflect the high standards your hotel is known for. We are highly disappointed with the service and the overall experience, especially since we were celebrating a special occasion.

I hope you take these concerns seriously and take appropriate measures to ensure no other guests have to face such issues. 

Thank you for your attention to this matter.

Sincerely,

Keyuri Kachalia ","1","2024-07"
"Special 50th Birthday at a Special hotel.","My son and I had the most amazing magical time at this beautiful hotel, the staff, the service and the ambiance of the hotel is unbelievable. The suites are so beautiful and the food is a culinary delight. We spent two nights here to celebrate my 50th, never been so spoilt and made to feel so welcome. My son and I can’t wait for our next stay here. Special mention to Fraser at breakfast and Kate our butler who are both a credit to the hotel.","5","2024-07"
"Something special","Boy was it hot.. off course we knew that upfront so we looked for cool places to stay during the day. The help from the e-concierge was outstanding and the level off all services was of the highest standard. From buggy service to the jumeirah hotels and restaurants across the hotel, the free entrance to wild wadi waterpark etc. As you would expect when going to this hotel but they truly lived up to their reputation. 
Really a great experience and nice to cool off at Sal beach club with great attentive staf again. If you want to get pampered there will be no better place. And don’t let the bling hold you back, it’s not just the place for the extremely rich and famous or the wannabe influencers who don’t want to work for it. It’s also very much for families who want to create lifelong memories.
That’s what we did, thank you for that team Burj al Arab.
Another great addition to our luxury hotel experiences.","5","2024-07"
"Talise Burj Al Arab- Spa day Sister birthday trip to Dubai","The Talise Spa at Burj Al Arab is truly an extraordinary experience. From the moment you walk in, the architectural aesthetics of the hotel are breathtaking. It's best to arrive early to fully enjoy everything the spa has to offer. We had lunch before our treatments, and the food was exceptional. The staff was incredibly accommodating; we requested cucumber lemonade, which wasn't on the menu, but they made it for us anyway. They also prepared a birthday cake for my sister's 40th birthday. The massages were among the best I've ever had, starting with a milk foot wash and scrub, followed by their signature massage. The staff was extremely professional and friendly, providing top-notch customer service. I highly recommend making this a part of your Dubai trip.","5","2024-07"
"Burj-al-Arab All seasons","What a stay at Burj-al-Arab, welcome cake with hand written welcome cards with dark & milk chocolates were amazing also butler was kind enough for all arrangements, chef was kind to make good breakfast I had my best tea in terms of taste in breakfast 🙏🏻💐","5","2024-07"
"Perfect stay experience","Overall, I am very satisfied with the accommodation. The check-in service is good. There is not much waiting time. There are also coffee and snacks to try. The front desk staff personally brought to the room to introduce the facilities, the equipment and supplies on the two floors, and the introduction of the floor butler. The breakfast is rich and selective. Yes, the caramel French toast is delicious. The staff are friendly and helpful. It’s worth visiting again.","5","2024-07"
"Amazing hotel!","This is truly the best hotel in the world as well from the staff, location and the experience. I will definitely come back again ","5","2024-07"
"Talise Spa","Went for a birthday treat which was very relaxing and much needed. The spa is very clean and  equipped with everything you need. Highly recommend to go enjoy the facilities and the sunset view from the pool and massage room. Ladies only section is available and private.","5","2024-07"
"Luxury and Elegance - it never gets old!","Arriving from the airport you are travel west on the E11 you see the top of what looks like a sail?  The closer your get the larger the sail becomes.  As you travel the bridge from mainland to island you realize you arrived at someplace special.  Dubai’s iconic Jumeriah Burj Al Arab.  Pure Luxury awaits.  You know this visit is going to be incredible.

Greeted at the entrance by the valet staff you are whisked away into the beautiful lobby.  The sounds of water greet your senses.  The playful arc of the stair fountains grasps your eyes and beckon you to the shear beauty of the lobby.  The colors, oh the colors.  The lobby is a visual kaleidoscope of every color imaginable.  Look up and gaze in awe of the open atrium of this grand hotel.  Venture up the escalator and take in the vast interior of the hotel.  The hotel is visually stunning.

Escorted to our Panoramic One-Bedroom Suite.  Two floors of solid glass await your gaze to the breathtaking landscape of Dubai.  As your eyes shift west across the Arabian Sea you see Palm Island and the Skyline of Dubai Media City and Dubai Marina.  Every aspect of the room radiates luxury.  Spacious does not begin to comprehend the vastness of the suite.  The beds were extremely comfy and provided restful night’s sleep.   Greeted at the door by Cynthia our Butler.  She attended to every detail to enhance our experience.  Cynthia’s customer service must be ingrained in her DNA.  Cynthia was exceptional.

We had the opportunity to meet Varaul Bhatia, Front Desk Manager.  Friendly, outgoing, and outstanding customer service.  

Bab Al Yam is the international breakfast buffet.  Sitting outside overlooking the blue waters of the Arabian Sea and the skylines of Dubai, Amazing!  Ignacio greeted our table every morning.  Asking what can he do to improve our stay?  Absolutely exceptional customer service.  Thank you.

We did not dine at the Burj Al Arab.  I’m sorry I cannot comment on the restaurants.  We did share a bottle of champagne at the Skyview Lounge.  Breathtaking view from the top of the Burj Al Arab.  We also visited the cocktail lounge, Gilt.  The drinks were phenomenal, the motif was a dazzling, ornate vibe.

Our stay at Burj Al Arab is a lifetime worthy, memorable adventure.  Truly a unique experience.  Make the Burj Al Arab your Dubai destination.  You won’t regret it.  The hotel, the view and especially the staff created an unforgettable stop on our journey.  We all had a fabulous time.  Thank you, Judy & Ron, Evie & Frank.","5","2024-05"
"Exceptional stay with family and a life time experience. Friendly staff, cleanliness, room was spectacular.","Exceptional stay with family and a life time experience. Friendly staff, cleanliness, room was spectacular.","5","2024-06"
"Poor hotel for what it should be","Poor customer service, quality of finish not great pool areas very unwelcoming. 4 star hotel at best","2","2024-06"
"Thanks For Nothing","We decided for our honeymoon to book 4 nights at the Burj Al Arab ( as a supposed luxurious treat )  as part of our 14 night honeymoon.
We arrived at The Burj reception to check in having been in touch several times before we got here to ask for an early check in. It was 09.00 and were greeted by no one … yes no one .. we stood and waited in the lobby for a bit looking rather lost, until a gentleman came over to escort us to a sofa , ( which we could have done ourselves anyway.)
His first comment was to ask for our passports, before he brought cold towels, dates and Arabic coffee were offered but so far not overly impressive. If this is 7 start luxury, I’ll stick with 5 star !! No water or fruit juice offered which you great at any 5 star hotel.
A guest relations manager came to tell us our room category wasn’t ready and whilst would were on a priority waiting list,  the room most likely wouldn’t be ready until 12pm urghhhh priority indeed.
I was starting to wish we hasn’t booked The Burj and would have much rather cancelled and moved straight to the One And Only hotel where you are ALWAYS  treated like a VIP, but no refund was on offer.
I asked to speak to the hotel duty manager in the hope that they may be able to help, but was presented to the Front Desk Manager Mr Bhatia as there wasn’t a duty manager in the hotel. 
He was even less helpful than the guest services individual and just went on to re -confirm  that we couldn’t have a room until around 12pm. He also confirmed that each suite in the Burj takes 3 hours to clean and prepare, which seems an awful lot of cleaning and prep. He did offer us complementary breakfast which we declined as all we wanted was to sleep and unpack. 
I asked Mr Bhatia how busy the hotel was the previous night, and was told he couldn’t discuss this with me as it was private information. Now I know the hotel ‘official’ check in is 3pm but I’ve stayed in Dubai 94 times in the past, and I may have been lucky but I have never had to wait for my room more than 40 minutes to an hour at similar check in times. Memo to self ‘ I’m done with the Burj and won’t be staying here again ‘  Maybe I’ve just been lucky, but it looks like my luck just ran out at The Burj
When I asked Mr Bahria how many times I have stayed here previously ( as I have quite a few times a few years ago when guests were treated like VIP’s )  he had no idea and hadn’t done any  checking on my Jumeirah profile before coming to speak to me. I knew I was fighting a losing battle and if Mr Bahri said “ I understand” once during our conversation, he said it 30 times  which made it even more irritating as he wasn’t able to do anything. It was as if we’d had booked a 3 star travel lodge when we found ourselves having to unpack our suitcases in a public open lobby to find clothes tom wear at the poolside. Never again.  
I was so so frustrated I asked to arrange a meeting with the hotel General Manager……. Mr Beretta, to discuss our feelings, and to explain why we were feeling let down,  but I was told he was unavailable as he is China on business. So I asked to speak to the Hotel Duty Manager, but was told there wasn’t anyone more senior than Mr Bahri in the hotel to speak to. He went to arrange a meeting with the front office manager Ms Nura but guess what she didn’t want to come outside to meet me as it was too hot for her  ! This to deal with issues we had discussed with Mr Bahri, regarding the replenishment of toiletries in the room. So that hasn’t been dealt with either. 
He then told  me that a Ms Cravotto was next in line in the senior management team and that he would arrange a meeting with her for me, but. At 12pm  when he came to drop off our room key outside wherever we were sitting, I was told she is too busy to meet with us at any time over the next 4 days ….. yes 4 days  when were here, so The Burj Al Arab management simply don’t want to speak to those paying their bills face to face. 
There is an air of total arrogance in this hotel which exudes from all of the staff and even of more concern to the guests from the mid to senior management. I have now given up and will wait to move on to the One And Only Royal Mirage Residence after my stay here where I know we will  be treated with value, integrity and appreciation. Here we feel like we’re simply a name and a money making  cog in a huge wheel.
Burj Al Arab management and Directors please read this review and listen to your customers. Try to make time to face your guests good and bad, and please realise we do all have choices","1",
"Anil patel","The hotel Burj AI Arab was marvelous! The service was very good and our stay was so relaxing. The view was beautiful as well as the room, and not too forget, the breakfast was wonderful! This was a once in a lifetime experience, the price was most definitely worth it. I will certainly come back another time and will strongly recommend to many others. ","5","2024-06"
"Best hotel ever!","My wife and I had a wonderful 2-night stay in Jumeirah Burj Al Arab. We stayed in one of the sky palm suites.

The building, the food, the amenities, and the view are all amazing! However, what made our stay so pleasurable were the hotel staff there.  Starting from the moment we walked in, till the moment we left the hotel, we felt truly cared and treated with warmth and courteousy.  Everyone, eg. hotel foyer team,  front desk manager, gym and spa staff members, restaurant team, golf buggie drivers, etc.  They all greet us with a warm welcome and a smile every time!

Simply exceptional!  Almost perfect! ","5","2024-06"
"Visiting Jumeirah Burj Al Arab: A Luxurious Experience","Visiting Jumeirah Burj Al Arab is an unforgettable experience of sheer luxury and opulence. As you approach the iconic sail-shaped structure, you're greeted by its stunning architecture and lavish surroundings. Inside, the grandeur continues with a breathtaking atrium, gold accents, and exquisite decor. Dining at one of its world-class restaurants offers panoramic views of the Arabian Gulf, accompanied by impeccable service and gourmet cuisine. The ambiance is one of exclusivity and elegance, making every moment feel special. From the private beach to the luxurious suites, every aspect of Burj Al Arab exudes extravagance and exceptional hospitality.","5","2024-05"
"Summary of my Stay in Burj Al-Arab","Every thing is just too great about this hotel! The only issue was that YouTube was not available on the main TV menu, but, the staff service was too great and they were very helpful, and didn't rest until the issue was solved! I really liked it!","5","2024-04"
"What an experience.   Amazing....","Friends took us a few years ago for the afternoon tea, which was amazing and we made it our aim to have at least a night in this amazing hotel.

On our recent trip to Duabi we treated ourselves to a night at Burj Al Arab.     Upon arrival the staff could not do enough for us.   Cold towels and they apologised for a lack of welcome drinks as it was Ramadan and the reception is classed as a public area.   No problem at all.      

They told us our room was ready at 11am but then started to give us a few 'funny looks'.    We had arrived a day late!!!     Totally my fault.      The reception staff worked really hard to sort this out and they agreed to give us a room  for the night.   We were so relieved as we had alreay paid.    The staff also seemed genuinely happy for us.    Amazing team at reception.

The hotel itself is out of this world in terms of decor, views and oppolence.    It's all gold, reds and deep blues.      We had a standard suite which was huge.    Over 2 floors.   Massive bed, separate down stairs lounge, Hermes toiletries including full sizes of Hermes aftershave and perfume.     Canapes and drinks delivered to your room between 5 and 7.

We used the Beach Club at Al Naseem - Summersalt.    Really nice with buggys to take you there and back.

The pools at the Burj itself consist of a big familly pool and they were letting older kids use the hot tubs and infinity pool.    I think this was mainly becasue the hotel was quiet.    It was my birthday and they surpised me with an amazing meringue style cream cake!    Really, really nice.

We had pre dinner drinks at the Sky view bar.    Really nice staff and very good cocktails.     The bar is around 40 floors up and has amazing views.   We are used to views being a bit hazy/dusty in Dubai, but in early April it was amazingly clear, with view of Burj Khalifa and the new Atlantis hotel.

We only had one night here and the weather was hot but cloudy.     Not many people were using the pools and the whole Jumierah complex seemed very quiet.    This did mean that there wasn't much atmosphere and all of the outdoor designer beach shops were closed as was the large lobby restuarant.

Bucket list ticked off.    Stunning hotel and amazing staff.","5","2024-04"
"High quality comfort","The hotel is luxury, service is excellent. You get all you need and want. You don´t need to leave the hotel´s territory. There are a very comfortable beach, nice SPA, beautiful swimming pool. You can have a good room service and enjoy your stay in the room with amazing view. ","5","2024-04"
"7 star hotel?","you’d think the service will be impeccable as the hotel is known to be a “7-star” hotel but the service was nothing out of ordinary.  If anything, we have received better service at the other 5 star hotels. we had to wait an hour for a room despite the hotel calling us the day before check in to ask our estimated arrival at the hotel. Upon booking, we had also stated that we are celebrating our first wedding anniversary expecting they will provide a simple gesture that will make our stay special (like how other hotels provide cakes or etc) but upon entering the room, there was nothing. We had to call the reception again to inform them about it. The butler service is good, but it was a bit slow (getting the hotel bill / luggage assistance took 30 minutes). 

The breakfast restaurant though is great. The staff, Diyor is very helpful and accommodating. 

The room has an amazing view, but the service? Mid.","3","2024-04"
"Second visit maybe the last!","This was our second stay at the Burj.

I would just like to say a special thank you to all of the breakfast staff for amazing and wonderful service . This was the best part of our stay. The service was impeccable. Also a huge thank you to Chef who created some wonderful vegan breakfast options for us. Amazing! The breakfast team were outstanding!

Also I would like to thank our Butler Gucci was was very kind and arranged a birthday in room surprise for our daughter.
Also thank you to Angelica.

We had a  couples massage which was one of the best massages I’ve had in a long time. However the spa itself was dated and unimpressive.

The  vegan options by the pool side were basically non existent.
I don’t mind but as a hotel of this standing I would expect at least one option that wasn’t a fruit platter or a salad. 

The  quality of room service food especially for the children was very basic . The pasta was awful no flavour at all. 

Also when we had booked for afternoon tea they told us it wasn’t possible to offer vegan! I find  this unacceptable as a paying guest and who have paid a lot of money for a weeks stay. It was confusing because they would leave Vegan canapés and sandwiches in our room daily. 
The tea manager did agree to make us vegan sandwiches but no pastries and cakes. The tea overall was underwhelming.

I do not feel that the staff are trained to go over and above for the guests needs. I would prefer less fancy gifts offered and more towards keeping the guests happy.

Lastly we had a 2:45 am flight so were due to depart very late so requested if we may use some facilities to take a shower but were refused. We were just told the spa was closed. This is an example of not going over and above for guests.

I do not think I would return again. I do love the room ( mainly the size) and the hotel location however there are better hotels. We usually stay at the Mandarin Oriental Emirates Palace which I find far superior .","4","2024-04"
"Excellent!","Excellent stay, from start to finish. We stayed with 2 small kids and were supported in every aspect by all team members. Suites are so comfortable that you don’t want to leave them. Breakfast offers excellent choice for both adults and kids. Spa has best experts in their field. What can I say, 3 nights was not enough :))) and we will be back !!!!","5","2024-04"
"We loved to stay","The best room ever. We enjoyed a lot. 
I loved to see the view from my room. 
The best food, most of the staff who I met they are kind and helpful. We really enjoyed. All the facilities are good. We will be back on May. Thank you so much for everyone. You did great job.","4","2024-03"
"World’s best hotel - Wonderful Stay","Our favourite hotel in Dubai and the world. Burj Al Arab truly is the world’s only 7 star hotel. We stayed for a few nights in April this year and had a wonderful stay. 

Our butlers Gucci and Maryam were so helpful and could not do enough for us. The hotel was also very helpful over e-butler before we arrived and during our stay. 

The pool area is world class with amazing service and facilities. The wrap around infinity pool was stunning. If you can’t afford to stay at the hotel it is definitely still worth visiting to use the pool area. 

Breakfast was also fantastic each day with a large selection of food and you also can order from the al a carte menu which feels like a more premium experience in line with the hotel. 

Finally our hotel suite was amazing. So large compared to any other hotel room. We stayed in the 2 bedroom family suite. As a family of 5 this was a perfect room for us with so much space. 

Overall I would highly recommend this hotel and will definitely be returning in the near future.","5","2024-04"
"excellent food and service","Great service in all department and very friendly helpful staff. Food was so tasty we enjoyed very much in the hotel, swimming pool so big. we are enjoyed lot. Staff was very helpful. they all are very professional staff. All are very helpful. all good.","5","2024-01"
"UMA Lounge - Huge Tourist Trap","This review is not about the whole hotel but just the UMA Lounge. We were staying at St. Regis Palm but my family wanted to visit the iconic Burj Al Arab. I found a following option on their website: UMA Premium Cabana Reservation for 1,500dirhams (around USD400), maximum capacity 6persons. The amount was redeemable credit to be used. 

The UMA Lounge is a gigantic tourist trap. The menu is a total disaster, not even an attempt to offer something more sophisticated besides Club Sandwich and Pizza Margherita. I am more than happy to pay premium for something special but $40 for a hot chocolate that didnt look or taste anything special?  

Stay away from this place, there are hundreds of better places to visit in Dubai.","1","2024-03"
"Outstandingly Amazing","Outstanding in every aspect of the word! 7-stars well earned actually closer to infinity stars of if I had my way.. location, hospitality, suites, comfort, amenities, not one miss or less then outstanding..  The pools, Beaches, restaurants breakfast all of it ,,,BRAVO","5","2024-03"
"Very good and beautiful hotel","Great service in all department and very friendly helpful staff
Especially after the Jumeirah executive pool we were spoiled by Nasir and Kawser. 
They made our stay very special   Our staff in the libby made great efforts to arrange transport in bad weather so we made it on time to the airport to get our flight","5","2024-03"
